Lambda,OBS,CAL,GD1,GD2,GD3,Syn_mean
3711.0,2.06742,1.27779,1.30379,1.30712,1.2618,1.287625
3712.0,1.65678,1.29645,1.32813,1.33114,1.2844,1.31003
3713.0,1.57358,1.31571,1.35035,1.35297,1.30697,1.3315
3714.0,1.32912,1.33132,1.3649,1.36755,1.32435,1.34703
3715.0,1.29735,1.33827,1.36698,1.3701,1.33068,1.3515075
3716.0,1.34683,1.33223,1.3537,1.35748,1.32165,1.341265
3717.0,1.23906,1.31131,1.32481,1.32946,1.2961,1.31542
3718.0,1.13383,1.2773,1.2838,1.28949,1.25628,1.2767175000000002
3719.0,1.29709,1.23623,1.23833,1.245,1.20875,1.2320775
3720.0,1.66862,1.19818,1.19932,1.20648,1.16527,1.1923124999999999
3721.0,2.4997,1.17461,1.17773,1.18439,1.13975,1.16912
3722.0,2.77413,1.17309,1.17959,1.18457,1.14119,1.16961
3723.0,5.23858,1.19277,1.20223,1.20491,1.16757,1.19187
3724.0,13.59968,1.22431,1.23535,1.23616,1.20615,1.2254925
3725.0,24.36107,1.25516,1.26638,1.26665,1.2408,1.2572475
3726.0,30.20272,1.27651,1.28686,1.28808,1.26145,1.278225
3727.0,33.86869,1.2866,1.29565,1.29827,1.26847,1.2872475
3728.0,35.2521,1.288,1.29554,1.29888,1.26797,1.2875975
3729.0,29.08226,1.28238,1.28772,1.29107,1.2628,1.2809925
3730.0,16.1371,1.26798,1.2704,1.27362,1.24909,1.2652725
3731.0,6.49824,1.24197,1.24145,1.24495,1.22148,1.2374625
3732.0,2.46601,1.20542,1.20269,1.20719,1.18053,1.1989575
3733.0,1.84271,1.16591,1.162,1.16765,1.13537,1.1577325
3734.0,1.92,1.13481,1.13091,1.13693,1.10008,1.1256825
3735.0,1.60966,1.12202,1.11877,1.12401,1.08657,1.1128425
3736.0,1.41164,1.1315,1.12899,1.1328,1.09865,1.122985
3737.0,1.10146,1.16007,1.15852,1.16057,1.1316,1.15269
3738.0,1.1686,1.19948,1.19913,1.19971,1.17585,1.1935425
3739.0,1.15173,1.2398,1.24052,1.24022,1.2205,1.2352599999999998
3740.0,1.23936,1.27186,1.27283,1.27244,1.25528,1.2681025
3741.0,1.1919,1.28917,1.28898,1.28935,1.27257,1.2850175
3742.0,1.24937,1.28947,1.28671,1.2885,1.26997,1.2836625
3743.0,1.08435,1.27496,1.26894,1.27217,1.2511,1.2667925
3744.0,1.17103,1.25051,1.24129,1.24541,1.22294,1.2400375000000001
3745.0,1.21999,1.22083,1.20902,1.21339,1.19139,1.2086575
3746.0,1.14052,1.1886,1.17552,1.17973,1.15868,1.1756324999999999
3747.0,1.17304,1.15547,1.14304,1.14734,1.12497,1.142705
3748.0,1.54956,1.12518,1.11571,1.12056,1.09311,1.1136400000000002
